"If you want to 100% check your qb vs this list, the only way I know is to copy/paste your qb from /qb list # command BELOW the last row of this column. Then do a Find and Replace under Edit, Find the following without quotes """" and replace with nothing. After you do this any qb you already have will be highlighted, you can then filter out these higlights using filter by color. (if you need help message Angrboa)",,,,,
Asherons Call Custom Quest QB List,QBs Tracked: 3959,,,,
KillTaskCrystallineWisps10109Wait,Crystalline_Killer,,,Crystalline Wisp Kill Task,FALSE
KilltaskDesertAreaArmoredilloWait_0511,Armoredillo_Hunting:_Lost_City_of_Neftet,,,Armoredillo Hunting: Lost City of Neftet,FALSE
KilltaskDesertAreaArmoredillo_0511,Armoredillo_Hunting:_Lost_City_of_Neftet,,,Armoredillo Hunting: Lost City of Neftet,FALSE
KilltaskDesertAreaGolemWait_0511,Golem_Hunting:_Lost_City_of_Neftet,,,Golem Hunting Lost City of Neftet,FALSE
KilltaskDesertAreaGolem_0511,Golem_Hunting:_Lost_City_of_Neftet,,,Golem Hunting Lost City of Neftet,FALSE
KilltaskDesertAreaMumiyahWait_0511,Mumiyah_Hunting:_Lost_City_of_Neftet,,,Mumiyah Hunting Lost City of Neftet,FALSE
KilltaskDesertAreaMumiyah_0511,Mumiyah_Hunting:_Lost_City_of_Neftet,,,Mumiyah Hunting Lost City of Neftet,FALSE
KilltaskDesertAreaReedsharkWait_0511,Reedshark_Hunting:_Lost_City_of_Neftet,,,Reedshark Hunting: Lost City of Neftet,FALSE
KilltaskDesertAreaReedshark_0511,Reedshark_Hunting:_Lost_City_of_Neftet,,,Reedshark Hunting Lost City of Neftet,FALSE
KillTaskDrudgeLurkers_0507,Drudge_Lurker_Kill_Task,,,Drudge Lurker Kill Task,FALSE
KillTaskDrudgeRaveners_0507,Drudge_Ravener_Kill_Task,,,Drudge Raveners Kill Task,FALSE
KillTaskDrudgeStalkers_0507,Drudge_Stalker_Kill_Task,,,Drudge Stalkers Kill Task,FALSE
KilltaskElemental_0609,Elemental_Kill_Task,,,Elemental Kill Task,FALSE
KillTaskEnragedShadows,Rynthid_Artifact_Collection,,,kill counter,FALSE
KillTaskEnragedShadowsStarted,Rynthid_Artifact_Collection,,,quest timer,FALSE
KilltaskGraveyardGraveRatWait_1107,Grave_Rat_Kill_Task,,,Grave Rat Kill Task,FALSE
KilltaskGraveyardGraveRat_1107,Grave_Rat_Kill_Task,,,Grave Rat Kill Task,FALSE
KilltaskGraveyardSkeletonWait_1309,Graveyard_Skeleton_Kill_Task,,,Graveyard Skeleton Kill Task,FALSE
KilltaskGraveyardSkeleton_1309,Graveyard_Skeleton_Kill_Task,,,Graveyard Skeleton Kill Task,FALSE
KilltaskGraveyardSpiritWait_1309,Graveyard_Spirit_Kill_Task,,,Graveyard Spirit Kill Task,FALSE
KilltaskGraveyardSpirit_1309,Graveyard_Spirit_Kill_Task,,,Graveyard Spirit Kill Task,FALSE
KilltaskGraveyardWightWait_1309,Graveyard_Wight_Kill_Task,,,Graveyard Wight Kill Task,FALSE
KilltaskGraveyardWight_1309,Graveyard_Wight_Kill_Task,,,Graveyard Wight Kill Task,FALSE
KilltaskGraveyardWispWait_1309,Graveyard_Wisp_Kill_Task,,,Graveyard Wisp Kill Task,FALSE
KilltaskGraveyardWisp_1309,Graveyard_Wisp_Kill_Task,,,Graveyard Wisp Kill Task,FALSE
KillTaskGurogHenchman1110,Gurog_Kill_Task,,,Gurog Henchman Kill Counter,FALSE
KillTaskGurogHenchmanCompleted1110,Gurog_Kill_Task,,,Gurog Henchmen Kill Task,FALSE
KillTaskGurogMinion1110,Gurog_Kill_Task,,,Gurog Minion Kill Counter,FALSE
KillTaskGurogSoldier1110,Gurog_Kill_Task,,,Gurog Soldier Kill Counter,FALSE
KillTaskGurogSoldierCompleted1110,Gurog_Kill_Task,,,Gurog Soldier Kill Task,FALSE
KillTaskIntenseWispsCorInca,Crystalline_Adventurer,,,Intense Crystalline Wisp Kill Task Corroding and Incalescent,FALSE
KillTaskIntenseWispsCorIncawait,Crystalline_Adventurer,,,Crystalline Intense Wisp Kill Task Corroding and Incalescent,FALSE
KillTaskIntenseWispsShiVol,Crystalline_Adventurer,,,Intense Crystalline Wisp Kill Task Shivering and Voltaic,FALSE
KillTaskIntenseWispsShiVolwait,Crystalline_Adventurer,,,Crystalline Intense Wisp Kill Task Shivering and Voltaic,FALSE
KilltaskKilifZefir,Kilif_Zefir_Kill_Task,,,Kilif Zefir Kill Task,FALSE
KilltaskMagshuthMoarsman,Magshuth_Moarsmen_Kill_Task,,,Magshuth Moarsman Kill Task,FALSE
KilltaskMagshuthMoarsmanWait,Magshuth_Moarsmen_Kill_Task,,,Magshuth Moarsman Kill Task,FALSE
KillTaskMoarsmanHighPriestStarted,High_Priest_of_T'thuun_Kill_Task,,,KillTaskMoarsmanHighPriestStarted,FALSE
KillTaskMoarsmanHighPriestWait,High_Priest_of_T'thuun_Kill_Task,,,KillTaskMoarsmanHighPriestWait,FALSE
KilltaskMoguthMoarsman,Moguth_Moarsman_Kill_Task,,,Moguth Moarsman Kill Task,FALSE
KilltaskMoguthMoarsmanWait,Moguth_Moarsman_Kill_Task,,,Moguth Moarsman Kill Task,FALSE
KillTaskPhyntosKiller1109,Killer_Phyntos_Wasp_Kill_Task,,,Phyntos Wasp Kill Task,FALSE
KillTaskPhyntosKillerWait1109,Killer_Phyntos_Wasp_Kill_Task,,,Phyntos Wasp Kill Task,FALSE
KillTaskPhyntosLarvae1109,Phyntos_Larva_Kill_Task,,,Phyntos Larvae Kill Task,FALSE
KillTaskPhyntosLarvaeWait1109,Phyntos_Larva_Kill_Task,,,Phyntos Larvae Kill Task,FALSE
KilltaskPutridMoarStarted_0307,Putrid_Moar_Kill_Task,,,Putrid Moar Kill Task Started,FALSE
KilltaskRareGame_0609,Rare_Game_Kill_Task,,,Rare Game Kill Task,FALSE
KillTaskRuschk_0301,Ruschk_Kill_Task,,,Ruschk Kill Task,FALSE
KillTaskRynthidMinions0813,Kill:_Rynthid_Minions,,,kill counter,FALSE
KillTaskRynthidRagers0813,Kill:_Rynthid_Ragers,,,kill counter,FALSE
KillTaskRynthidRares0813,Kill:_Rynthid_Rare_Boss,,,kill counter,FALSE
KillTaskRynthidRaresCompleted0813,Kill:_Rynthid_Rare_Boss,,,quest timer,FALSE
KillTaskRynthidRiftCompleted0813,Kill:_Rynthid_Rifts,,,quest timer,FALSE
KillTaskRynthidRifts0813,Kill:_Rynthid_Rifts,,,kill counter,FALSE
KillTaskRynthidSlayers0813,Kill:_Rynthid_Slayers,,,kill counter,FALSE
KillTaskRynthidSorcererCompleted0813,Kill:_Rynthid_Sorcerers,,,quest timer,FALSE
KillTaskRynthidSorcerers0813,Kill:_Rynthid_Sorcerers,,,kill counter,FALSE
KillTaskSawatoBandit,Sawato_Extortion,,,kill counter,FALSE
KilltaskShoguthMoarsman,Shoguth_Moarsman_Kill_Task,,,Shoguth Moarsman Kill Task,FALSE
KilltaskShoguthMoarsmanWait,Shoguth_Moarsman_Kill_Task,,,Shoguth Moarsman Kill Task,FALSE
KillTaskThreeEyedSnowman,Three_Eyed_Snowman_Kill_Task,,,Three Eyed Snowman Kill Task,FALSE
KillTaskTorgashsTasks_0301,Torgash's_Tasks,,,Torgashs Tasks,FALSE
KillTaskTormentedShadows,Rynthid_Artifact_Collection,,,kill counter,FALSE
KillTaskTormentedShadowsStarted,Rynthid_Artifact_Collection,,,quest timer,FALSE
KillTaskTouTouFlyers0812,Shadow_Flyer_Kill_Task,,,Shadow Flyer Kill Task,FALSE
KillTaskTouTouFlyersCompleted0812,Shadow_Flyer_Kill_Task,,,Shadow Flyer Kill Task,FALSE
KillTaskTouTouGrievvers0812,Grievver_Shredder_Kill_Task,,,Grievver Shredder Kill Task,FALSE
KillTaskTouTouGrievversCompleted0812,Grievver_Shredder_Kill_Task,,,Grievver Shredder Kill Task,FALSE
KillTaskTouTouKnights0812,Void_Lord_Kill_Task,,,Void Lord Kill Task,FALSE
KillTaskTouTouKnightsCompleted0812,Void_Lord_Kill_Task,,,Void Lord Kill Task,FALSE
KillTaskTouTouMarguls0812,Devourer_Margul_Kill_Task,,,Devourer Margul Kill Task,FALSE
KillTaskTouTouMargulsCompleted0812,Devourer_Margul_Kill_Task,,,Devourer Margul Kill Task,FALSE
KillTaskTouTouPillars0812,Shadowy_Pillar_Kill_Task,,,Shadowy Pillar Kill Task,FALSE
KillTaskTouTouPillarsCompleted0812,Shadowy_Pillar_Kill_Task,,,Shadowy Pillar Kill Task,FALSE
KillTaskTouTouShadows0812,Shadow_Kill_Task,,,Shadow Kill Task,FALSE
KillTaskTouTouShadowsCompleted0812,Shadow_Kill_Task,,,Shadow Kill Task,FALSE
KilltaskTumerokGladiator,Tumerok_Gladiator_Kill_Task,,,Tumerok Gladiator Kill Task,FALSE
KilltaskViridianAnek,Viridian_A'nekshen_Kill_Task,,,kill counter,FALSE
KilltaskViridianAnekWait,Viridian_A'nekshen_Kill_Task,,,quest timer,FALSE
KilltaskViridianWasp,Viridian_Wasp_Kill_Task,,,kill counter,FALSE
KilltaskViridianWaspWait,Viridian_Wasp_Kill_Task,,,quest timer,FALSE
KilltaskViridianZefir,Viridian_Zefir_Kill_Task,,,kill counter,FALSE
KilltaskViridianZefirWait,Viridian_Zefir_Kill_Task,,,quest timer,FALSE
KingOolutangaEnter,The_Legend_of_the_Tusker_Paw,,,Entrance to the Warrior's Lair.,FALSE
KireeBeaten,Clutch_of_Kings_(Kiree),,,You've beaten Kiree.,FALSE
KireeComplete,Clutch_of_Kings_(Kiree),,,You've completed the Kiree quest.,FALSE
KireeKilled,Clutch_of_Kings_(Kiree),,,You killed Kiree.,FALSE
KivikLirBeaten,The_Temple_of_Kivik_Lir,,,You've used the Eye.,FALSE
KivikLirCompleted,The_Temple_of_Kivik_Lir,,,You've used the Eye.,FALSE
KnifeDahQuest,Rusted_Knife_Quest,,,Retreive Nurbaha bint Dah's Knife,FALSE
KnightsOfKarlunComplete,Knights_of_Karlun_Quest,,,Knights Of Karlun Complete,FALSE
KnorrGem1,Halls_of_Knorr,,,Received Knorr Gem,FALSE
knorrquiddityseedquestrepeat,Knorr_Quiddity_Seed_Quest,,,Flag for Knorr Quiddity Seed Quest initial turn in,FALSE
knorrquiddityseedwait,Knorr_Quiddity_Seed_Quest,,,Completed Knorr Quiddity Seed Quest,FALSE
KnorrWait,Halls_of_Knorr,,,Waiting time before returning to Knorr,FALSE
KoihoataiFragment_Pickup,Rossu_Morta_Chapterhouse_Access,,,Player has picked up the Koihoatai Fragment,FALSE
KothmoxStaffGiven,Lord_Test,,,Kothmox Staff Given to lord test statue,FALSE
KrankDeliveryMacNiall,Captain_K'rank's_Errands,,,You have been given a quest to deliver something to MacNiall by Captain K'rank.,FALSE
KrankMorgluuk,Noble_Weapons_Quest,,,You have spoken to Krank about that Burun named Morgluuk.,FALSE
KrankQuest,Captain_K'rank's_Errands,,,Captain k'rank has given you a quest.,FALSE
LabPortalGem120,Monouga_Laboratory,,,Player has turned in Monouga Laboratory Portal Attunement Gem to 120+ Bell,FALSE
LabPortalGem150,Monouga_Laboratory,,,Player has turned in Monouga Laboratory Portal Attunement Gem to 150+ Bell,FALSE
LadyDaneelOreCollectionCompleted_0612,Researching_the_Lost_Rituals,,,Player has completed the collection of Ore for Lady Dan'eel,FALSE
LadyKiaraOreCollectionCompleted_0612,Researching_the_Lost_Rituals,,,Player has completed the collection of Ore for Lady Kiara,FALSE
LadyMhoireRewardWait,Lady_Mhoire_Quest,,,quest timer,FALSE
largeaggregateshardpickup,Crystalline_Adventurer,,,Picked up Large Aggregate Crystalline Shard,FALSE
LargeGoldAetheriumCoreFragmentPickup,Gearknight_Lesser_Lords,,,Picked up Large Gold Aetherium Core,FALSE
LegendaryQuestCounter_0913,Legendary_Quests,,,Number of Legendary Quests Completed for Contract,FALSE
LetterRegicideMenacetPickUp,Elysa's_Favor_Quest,,,Player has picked up the Menacet Regicide Note,FALSE
LetterRylanan2Given,Elysa's_Favor_Quest,,,Player has delivered the full letter to Rylanan.,FALSE
LetterTenshin2Given,Elysa's_Favor_Quest,,,Player has delivered the full letter to Tenshin.,FALSE
LetterToCelcyndQuest,Mindorla's_Letter,,,Letter To Celcynd Quest,FALSE
lettertonomeapickuptimer,Aerbax's_Prodigal_Tumerok,,,Picked up Letter to Nomea,FALSE
LeyLeechsMedallion_Pickup,Southern_Shroud_Cabal,,,Player has picked up Ley Leechs Medallion,FALSE
LiazkBeaten,The_Temple_of_Liazk_Itzi,,,Player defeated the tests of Liazk Itzi's Temple.,FALSE
LilithasBowGiven,Lilitha's_Lost_Bow,,,Gave Lilitha's Bow to Eldrista.,FALSE
LinkofaFalatacotChainPickupTimer,Burun_Liberator,,,Player has picked up Link of a Falatacot Chain,FALSE
LorcaSammelNecklaceAcquired,The_Missing_Necklace,,,Lorca Sammel's Lost Necklace,FALSE
LordMarsansLogBookPickup,The_Dark_Spiral_Quest,,,Lord Marsan's Log Book Pick Up timer,FALSE
LordTestFactionItemPickupTimer,Lord_Test,,,You have obtained a quest item from lord test.,FALSE
LoShoensPackRatsKilled_1107,Grave_Rat_Kill_Task,"Flag to use the bag, upon turning in the kill task",,Check that Grave Rat KT is done before using bag. Different from bags 3 day timer.,FALSE
LoShoensPackTimer_1107,Grave_Rat_Kill_Task,Flag from using the bag/timer to get cheese again,,20 hour repeatable timer on obtaining Lo Shoens Rat Bait from Lo Shoens Pack,FALSE
LostLorePageCompleted_0712,Lost_Lore,,,Player has completed The Lost Lore Quest,FALSE
LostLoreStarted_0712,Lost_Lore,,,Player has starte The Lost Lore Quest,FALSE
LostMessengerGotJournal,Lost_Messenger,,,Player has received Messengers Journal,FALSE
LostMessengerInterceptedQuest_Start,Lost_Messenger,,,Player has started Intercepted Note portion of Lost Messenger Quest,FALSE
LostMessengerQuest_Start,Lost_Messenger,,,Player has started Lost Messenger Quest,FALSE
LostMessengerQuest_Wait,Lost_Messenger,,,Player has completed Lost Messenger Quest,FALSE
LostPetCollarAcquired0805,Lost_Pet,Pickup Darling's Collar,,Lost Pet Darlings Collar Pickup,FALSE
lostpetportal,Lost_Pet,Talk to Xsao Lann,,Flagged to enter Creepy Canyons dungeon,FALSE
LostPetQuestCompleted0805,Lost_Pet,Turn in Darling's Collar,,Lost Pet Completed,FALSE
LoyalToLordTyragar,Nalicana's_Test,One of the Specialized Luminance NPCs,,LoyalToLordTyragar,FALSE
LugianAssaultCompleted_0913,Lugian_Assault,,,quest timer,FALSE
LugianAssaultStarted_0913,Lugian_Assault,,,quest timer,FALSE
LugianBladeHeart,"Arm,_Mind,_Heart_Quest",,,Lugian Blade of the Heart,FALSE
LugianClothArm,"Arm,_Mind,_Heart_Quest",,,Lugian Cloth of the Arm,FALSE
LugianStaffMind,"Arm,_Mind,_Heart_Quest",,,Lugian Staff of the Mind,FALSE
LunnumsDisappearanceCompleted0106,Lunnum's_Disappearance,,,Track down the thief who took Lunnum. - Completed,FALSE
LunnumsDisappearanceStarted0106,Lunnum's_Disappearance,,,Flagging for start of quest,FALSE
LunnumsPyreQuestCompleted0805,Lunnum's_Pyre,,,Lunnum's Pyre Timer,FALSE
LunnumsPyreQuestStarted0805,Lunnum's_Pyre,,,Flagging for start of quest,FALSE
LunnumsReturnComplete1006,Lunnum's_Return,,,Player has completed Lunnums Return,FALSE
LunnumsReturnStarted1006,Lunnum's_Return,,,Player has started Lunnums Return,FALSE
LurzaSezzhereisLairGiven,Gateway_to_the_Deep,,,Sezzherei's Lair given to Lurza,FALSE
maceofhiranaith,The_Shadows_of_Bitter_Winter,,,Mace of Hiranaith pickup timer,FALSE
MaddenedFiunHeart,Red_Bull_of_Sanamar_Quest,,,Red Bull of Sanamar Quest,FALSE
MageAcademyKey,The_Mage_Academy,,,Mage Academy Coffin Key,FALSE
MagicItemTraining1,Bleeargh's_Gratitude,,,You have been blessed by Bleeargh to learn item enchantment.,FALSE
MagicItemTraining2,Bleeargh's_Gratitude,,,You have been blessed by Bleeargh to learn item enchantment.,FALSE
MagicItemTraining3,Bleeargh's_Gratitude,,,You have been blessed by Bleeargh to learn item enchantment.,FALSE
MagicItemTraining4,Bleeargh's_Gratitude,,,You have been blessed by Bleeargh to learn item enchantment.,FALSE
MagicItemTraining5,Bleeargh's_Gratitude,,,You have been blessed by Bleeargh to learn item enchantment.,FALSE
MagicItemTraining6,Bleeargh's_Gratitude,,,You have been blessed by Bleeargh to learn item enchantment.,FALSE
MagnificentBraceletPickupTimer,Oswald's_Dirk_Quest,,,Pick up Magnificent Bracelet Wait timer,FALSE
MarcusTalkWeek1,Portal_Space_Time_Travel,Talk to marcus in first Resonant portal,,quest timer,FALSE
MarriageCompleted,Wedding_Trials,,,Player has been married,FALSE
MarriageSymbolFriendship,Wedding_Trials,,,Player has picked up the Symbol of Friendship,FALSE
MarriageSymbolHonor,Wedding_Trials,,,Player has picked up the Symbol of Honor,FALSE
MarriageSymbolLove,Wedding_Trials,,,Player has picked up the Symbol of Love,FALSE
MaruunStarted,Portal_Space_Time_Travel,,,quest timer,FALSE
MaruunTimeout,Portal_Space_Time_Travel,,,quest timer,FALSE
MaruunWeek1Done,Portal_Space_Time_Travel,Make a choice in first resonant portal,,quest timer,FALSE
MaskNoir1,Noir_Assassination_Investigation,,,You're wearing the bandit mask.,FALSE
MaskNoir1PickUp,Noir_Assassination_Investigation,,,You've picked up the bandit mask.,FALSE
MaskofBlackWater_Pickup,Tanada_Temple_of_Black_Water_Quest,,,Player has picked up the Mask of the Watcher of Black Water.,FALSE
mastersealturnedin,Rytheran's_Master_Seal,,,Gave Rytheran's Master Seal to Master's Sentinel,FALSE
MastersMessageShardPickupTimer,Apostate_Excavation_Investigation,,,Player has picked up Excavation Masters Message Shard,FALSE
MastersVoiceComplete0710,His_Master's_Voice,,,Completed His Master's Voice - Handed Tomb Rubble to Ssavashka the Devoted,FALSE
MastersVoiceRubbleAcquired,His_Master's_Voice,,,His Master's Voice Tomb Rubble Acquired,FALSE
MastersVoiceStarted_0511,His_Master's_Voice,,,Flagging for start of quest,FALSE
MayGetSword,,,,Player may pick up sword,FALSE
MayoiMoarsmenComplete_0508,Moarsmen_on_the_Shores_(Mayoi),,,Player has completed the Mayoi portion of Moarsmen on the Shores,FALSE
MemoryGameDroppedAxe,Clutch_of_Kings_(Rehir),,,You've dropped the memory game axe.,FALSE
MemoryGameDroppedMace,Clutch_of_Kings_(Rehir),,,You've dropped the memory game mace.,FALSE
MemoryGameDroppedSpear,Clutch_of_Kings_(Rehir),,,You've dropped the memory game spear.,FALSE
MemoryGameDroppedSword,Clutch_of_Kings_(Rehir),,,You've dropped the memory game sword.,FALSE
MemoryGamePickedupAxe,Clutch_of_Kings_(Rehir),,,You've dropped the memory game axe.,FALSE
MemoryGamePickedupMace,Clutch_of_Kings_(Rehir),,,You've dropped the memory game mace.,FALSE
MemoryGamePickedupSpear,Clutch_of_Kings_(Rehir),,,You've dropped the memory game spear.,FALSE
MemoryGamePickedupSword,Clutch_of_Kings_(Rehir),,,You've dropped the memory game sword.,FALSE
MemoryGameReceivedInstructions,Clutch_of_Kings_(Rehir),,,You've received the memory game instructions.,FALSE
MenacetsNote,Elysa's_Favor_Quest,,,Writ Nov Quest 2,FALSE
MessengersCollar_Pickup,Messenger's_Collar_Quest,,,Player has picked up the Messengers Collar,FALSE
MessengersCollar_Repeat,Messenger's_Collar_Quest,,,Player has completed Messengers Collar quest at least once.,FALSE
MonougaExperimentLogPickupTimer,Monouga_Laboratory,,,Pickup timer for Monouga Experiment Log,FALSE
MonthlyQuestBiWeeklyOne0710,Monthly_Explorer_Society_Quests,,,Player has completed the Biweekly Monthly Explorer Society Quest.,FALSE
MonthlyQuestMonthlyOne0710,Monthly_Explorer_Society_Quests,,,Player has completed the Monthly Monthly Explorer Society Quest.,FALSE
MonthlyQuestWeeklyOne0710,Monthly_Explorer_Society_Quests,,,Player has completed the Weekly Monthly Explorer Society Quest.,FALSE
MosswartExodusCloth,Bleeargh's_Gratitude,,,You found the loincloth of the first Mire Witch.,FALSE
MosswartExodusEye,Bleeargh's_Gratitude,,,You found the eye of Drageerg.,FALSE
MosswartExodusHand,Bleeargh's_Gratitude,,,You found the Hand of Vagurat.,FALSE
MosswartExodusNecklace,Bleeargh's_Gratitude,,,You found the Necklace of Leerargh.,FALSE
MosswartExodusNecklaceKey,Bleeargh's_Gratitude,,,You found the key to open the necklace chest.,FALSE
MosswartExodusSpear,Bleeargh's_Gratitude,,,You found the Spear of Kreerg.,FALSE
MosswartExodusSpearKey,Bleeargh's_Gratitude,,,You found the Mosswart Chest Key.,FALSE
MosswartExodusWarPaint,Bleeargh's_Gratitude,,,You found the war paint used by the swamp lords.,FALSE
MosswartIdolItem,King_Toad_Idol_Quest,,,You have picked up the Mosswart Item Enchantment teaching idol.,FALSE
MosswartTornShroud,Singularity_Weapons_Quest,Pick up Torn Mosswart Shroud from Gragghk,,Torn Mosswart Shroud,FALSE
moufreward,Rescuing_Mouf_P,,,Received Mouf Reward,FALSE
MowenFighter,The_Legend_of_the_Tusker_Paw,,,TBD,FALSE
MowenWait,The_Legend_of_the_Tusker_Paw,,,TBD,FALSE
MowenWinner,The_Legend_of_the_Tusker_Paw,,,TBD,FALSE
MuddaveusInsigniaBadge,The_Hunt_for_Muldaveus,,,Hunt for Muldaveus Insignia Badge,FALSE
MugOswaldGiven,Oswald's_Dirk_Quest,,,Gave Celcynd his mug,FALSE
MugOswaldTaken,Oswald's_Dirk_Quest,,,Took the mug,FALSE
mukkiraspectofgraelquest_wait,Mukkir_Aspect_of_Grael_Quest,,,Player has completed Mukkir Aspect of Grael Quest,FALSE
mukkirinfestedblackspeartemple_start,Mukkir_Aspect_of_Grael_Quest,,,Player has access to Mukkir Infested Black Spear Temple,FALSE
MuldaveusTornPage1,The_Hunt_for_Muldaveus,,,Hunt for Muldaveus Torn Journal Page 1,FALSE
MuldaveusTornPage3,The_Hunt_for_Muldaveus,,,Hunt for Muldaveus Torn Journal Page 3,FALSE
MuldaveusTornPage4,The_Hunt_for_Muldaveus,,,Hunt for Muldaveus Torn Journal Page 4,FALSE
MuMuRight,Oswald's_Dirk_Quest,,,Correct answer on Mu Mu,FALSE
MysticalMugFlag,Ulgrim's_Drinking_Contest,,,Player stamp for Mystical Mug use,FALSE
NantoTownQuest,Miyako's_Moonstone_Quest,,,Nanto Town Quest,FALSE
NantoWaterBottleQuest,Water_for_Ji_Ra_Ping,,,Nanto Water Bottle Quest,FALSE
NecklaceOfTheElementsComplete,Necklace_of_the_Elemental_Adepts_Quest,,,Necklace of the Elemental Adepts quest completed,FALSE
NecklaceOfTheElementsStarted,Necklace_of_the_Elemental_Adepts_Quest,,,Necklace Of The Elements quest started,FALSE
